POINT_PATH CLOSED
31.5847 11.0792
31.0577 13.0265
33.0601 13.0868
34.0634 11.0545
POINT_PATH CLOSED
1.08663 12.0134
4.08151 10.0331
8.0392 12.0517
13.0067 12.0889
18.0964 12.0877
23.0548 12.0294
27.0543 9.06199
29.0242 9.02466
31.0679 8.08438
32.0832 6.08074
37.0362 5.02236
42.01 7.03919
46.0207 13.0326
51.0578 8.05202
54.0814 13.0646
59.0889 8.07435
63.096 14.0174
68.0046 8.02191
71.0636 15.0902
77.0116 11.0292
78.0754 18.0775
85.0135 17.0279
83.0199 24.0091
91.0775 24.0548
89.0238 31.0202
97.0679 34.0168
93.0596 40.0305
98.0269 46.0836
93.0319 50.0636
98.0688 55.0394
93.0568 58.0304
98.0523 63.0648
92.0551 66.0615
94.0906 73.0159
87.0934 72.0666
88.0945 79.0661
81.0752 78.0069
79.0617 84.0144
73.0346 81.0527
71.0695 87.0855
65.016 83.0025
62.0861 88.0291
58.0926 83.5429
55.0374 87.518
52.0574 83.5341
49.0645 87.0062
46.071 83.0142
44.0327 87.0261
41.0927 83.0663
39.0324 87.0262
36.0331 83.0872
34.0016 86.0076
31.0603 83.0948
29.0804 86.0362
26.0387 83.0298
23.0588 84.0964
21.0393 82.0248
17.0428 81.0515
15.0856 79.0767
13.01441 77.0501
11.0829 75.5002
12.0669 72.0539
15.0257 74.0727
18.0598 75.5888
21.0976 77.0566
25.0864 78.034
30.0304 78.0363
35.061 78.0452
40.0465 78.0038
45.004 77.5823
50.5324 77.5294
56.0833 77.0184
62.0085 76.0992
68.0988 74.0633
74.036 71.0649
80.0067 64.037
74.0393 58.069
65.0003 53.0684
59.0413 45.0921
53.0245 38.0417
50.0942 42.0872
47.0099 49.011
44.0738 55.0711
41.0277 60.0082
37.0758 62.0875
32.0221 61.095
32.0217 57.0721
37.0271 53.0373
39.0372 47.0357
41.0265 41.0126
40.0243 34.0766
35.0969 37.0336
29.0021 38.0785
24.0022 36.0601
19.0747 36.0075
14.0074 36.0061
10.0571 36.01
4.07453 36.0184
1.03143 33.042
4.05356 30.0399
6.54418 26.0403
9.00083 30.0331
12.0877 26.0213
15 30.0424
17.0595 26.0395
20.0829 30.0664
23.0355 26.0981
26.0648 30.0915
28.0518 27.0536
32.0679 29.0796
35.0206 25.0599
36.0583 22.0638
32.0644 20.0285
30.0805 22.0269
28.0221 18.0718
25.0515 21.0395
22.0917 17.033
19.0999 21.0207
16.0068 17.041
13.5378 21.0483
11.0181 17.0241
8.27569 21.0294
6.06751 17.0436
3.20185 21.0835
1.08701 17.0872
